tipo,discriminacao,url,formato,url_norm,domain,is_pdf,expected_content_type,parser_hint,priority_bucket
Artigo,AS LESÕES CORPORAIS EM SEDE DE VIOLÊNCIA DOMÉSTICA E A PROBLEMÁTICA DA COMPROVAÇÃO POR MEIO DE FOTOGRAFIAS,https://amdepol.org/sindepo/2022/11/as-lesoes-corporais-em-sede-de-violencia-domestica-e-a-problematica-da-comprovacao-por-meio-de-fotografias/,html,https://amdepol.org/sindepo/2022/11/as-lesoes-corporais-em-sede-de-violencia-domestica-e-a-problematica-da-comprovacao-por-meio-de-fotografias,amdepol.org,False,text/html,html_readability,C
Artigo,"A medida protetiva pode ser aplicada mesmo sem pedido (requerimento) da vítima ou contra a sua vontade, na violência de gênero no âmbito doméstico ou familiar?",https://amdepol.org/sindepo/2023/11/a-medida-protetiva-pode-ser-aplicada-mesmo-sem-pedido-requerimento-da-vitima-ou-contra-a-sua-vontade-na-violencia-de-genero-no-ambito-domestico-ou-familiar/,html,https://amdepol.org/sindepo/2023/11/a-medida-protetiva-pode-ser-aplicada-mesmo-sem-pedido-requerimento-da-vitima-ou-contra-a-sua-vontade-na-violencia-de-genero-no-ambito-domestico-ou-familiar,amdepol.org,False,text/html,html_readability,C
Artigo,MEDIDAS PROTETIVAS DE URGÊNCIA E A LEI 14.550/23: UMA VISÃO CRÍTICA,https://amdepol.org/sindepo/2023/05/medidas-protetivas-de-urgencia-e-a-lei-14-550-23-uma-visao-critica/,html,https://amdepol.org/sindepo/2023/05/medidas-protetivas-de-urgencia-e-a-lei-14-550-23-uma-visao-critica,amdepol.org,False,text/html,html_readability,C
Artigo,PROVA DO CRIME DE VIOLÊNCIA PSICOLÓGICA,https://amdepol.org/sindepo/2023/01/prova-do-crime-de-violencia-psicologica/,html,https://amdepol.org/sindepo/2023/01/prova-do-crime-de-violencia-psicologica,amdepol.org,False,text/html,html_readability,C
Artigo,A comunicação compulsória realizada pelos serviços de saúde em casos suspeitos de violência doméstica e familiar contra mulher e o sigilo profissional médico,https://amdepol.org/sindepo/2020/11/a-comunicacao-compulsoria-realizada-pelos-servicos-de-saude-em-casos-suspeitos-de-violencia-domestica-e-familiar-contra-a-mulher-e-o-sigilo-profissional-medico/,html,https://amdepol.org/sindepo/2020/11/a-comunicacao-compulsoria-realizada-pelos-servicos-de-saude-em-casos-suspeitos-de-violencia-domestica-e-familiar-contra-a-mulher-e-o-sigilo-profissional-medico,amdepol.org,False,text/html,html_readability,C
Artigo,Violação da intimidade como violência doméstica contra a mulher e o novo crime de registro não autorizado da intimidade sexual,https://amdepol.org/sindepo/2019/02/violacao-da-intimidade-como-violencia-domestica-contra-a-mulher-e-o-novo-crime-de-registro-nao-autorizado-da-intimidade-sexual/,html,https://amdepol.org/sindepo/2019/02/violacao-da-intimidade-como-violencia-domestica-contra-a-mulher-e-o-novo-crime-de-registro-nao-autorizado-da-intimidade-sexual,amdepol.org,False,text/html,html_readability,C
Artigo,As implicações da nova Lei nº 13.827/2019 – Aplicação das Medidas Protetivas no âmbito da Lei Maria da Penha por Delegado de Polícia ou por policiais,https://amdepol.org/sindepo/2019/05/as-implicacoes-da-nova-lei-no-13-827-2019-aplicacao-das-medidas-protetivas-no-ambito-da-lei-maria-da-penha-por-delegado-de-policia-ou-por-policiais/,html,https://amdepol.org/sindepo/2019/05/as-implicacoes-da-nova-lei-no-13-827-2019-aplicacao-das-medidas-protetivas-no-ambito-da-lei-maria-da-penha-por-delegado-de-policia-ou-por-policiais,amdepol.org,False,text/html,html_readability,C
Artigo,Porte e posse de arma de fogo e violência doméstica contra a mulher – Leis 13.880/19 e 13.882/19,https://amdepol.org/sindepo/2019/10/porte-e-posse-de-arma-de-fogo-e-violencia-domestica-contra-a-mulher-leis-13-880-19-e-13-882-19/,html,https://amdepol.org/sindepo/2019/10/porte-e-posse-de-arma-de-fogo-e-violencia-domestica-contra-a-mulher-leis-13-880-19-e-13-882-19,amdepol.org,False,text/html,html_readability,C
Artigo,Violência doméstica e pena criminal,https://www.conjur.com.br/2022-nov-30/joao-mestieri-violencia-domestica-pena-criminal/,html,https://www.conjur.com.br/2022-nov-30/joao-mestieri-violencia-domestica-pena-criminal,www.conjur.com.br,False,text/html,html_readability,C
Artigo,Violência doméstica X direito à convivência familiar,https://www.mprj.mp.br/documents/20184/6380157/beatrice_marinho_paulomonica_jardim_rocha.pdf/,pdf,https://www.mprj.mp.br/documents/20184/6380157/beatrice_marinho_paulomonica_jardim_rocha.pdf,www.mprj.mp.br,True,application/pdf,pdf_text_pymupdf,B
